law_id,title,year,url,pdf_path
8520,"Zakon o porezu na dodatu vrijednost iz 2021. godine","2022","https://wapi.gov.me/download/35cf9684-a5a2-46cb-984c-ec58b6ef8331?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dodatu vrijednost iz 2021. godine-2022.pdf"
8521,"Zakon o objedinjenoj registraciji i sistemu izvještavanja o obračunu i naplati poreza i doprinosa iz 2023. godine","2022","https://wapi.gov.me/download/c034d883-21a0-4819-bfb1-b773d824890a?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o objedinjenoj registraciji i sistemu izvještavanja o obračunu i naplati poreza i doprinosa iz 2023. godine-2022.pdf"
8522,"Zakon o poreskoj administraciji iz 2022. godine","2022","https://wapi.gov.me/download/1a726d0d-3518-4763-8b59-7e164678caaa?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o poreskoj administraciji iz 2022. godine-2022.pdf"
8523,"Zakon o radu iz 2021. godinu","2022","https://wapi.gov.me/download/a7158dce-903e-48f5-a38f-e57858046097?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu iz 2021. godinu-2022.pdf"
8524,"Zakon o doprinosima za obavezno socijalno osiguranje iz 2022. godine","2022","https://wapi.gov.me/download/50c11a46-608e-49bf-a1c3-f0ff7dfde803?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje iz 2022. godine-2022.pdf"
8525,"Zakon o privrednim drustvima iz 2022. godine","2022","https://wapi.gov.me/download/03a69cba-daa1-4184-93a2-49bb466425b3?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o privrednim drustvima iz 2022. godine-2022.pdf"
8526,"Zakon o porezu na dobit pravnih lica iz 2022. godine","2022","https://wapi.gov.me/download/4b517be8-d68b-4840-a714-19215e1008d1?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dobit pravnih lica iz 2022. godine-2022.pdf"
8527,"Zakon o radu iz 2021. godine","2022","https://wapi.gov.me/download/a7158dce-903e-48f5-a38f-e57858046097?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu iz 2021. godine-2022.pdf"
8528,"Zakon o dopunama Zakona o porezu na dodatu vrijednost iz 2021.godine","2022","https://wapi.gov.me/download/1c8eb2a6-04a4-4b51-a00e-0cdf9cb7083e?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o dopunama Zakona o porezu na dodatu vrijednost iz 2021.godine-2022.pdf"
8529,"Zakon o porezu na dodatu vrijednost","2022","https://wapi.gov.me/download/75896043-2b75-4c08-97c5-536401c749ec?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dodatu vrijednost-2022.pdf"
8530,"Zakon o radu iz 2019. godine","2022","https://wapi.gov.me/download/a7158dce-903e-48f5-a38f-e57858046097?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu iz 2019. godine-2022.pdf"
8531,"Zakon o porezu na dohodak fizickih lica iz 2022. godine","2022","https://wapi.gov.me/download/4e6db5b6-80df-457b-93d5-6c81db9cec60?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dohodak fizickih lica iz 2022. godine-2022.pdf"
8532,"Zakon o izmjenama i dopuni Zakona o privrednim drustvima iz 2021.godine","2022","https://wapi.gov.me/download/1cd2a729-ef83-4dac-9e16-e2443d8ccfb0?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopuni Zakona o privrednim drustvima iz 2021.godine-2022.pdf"
8533,"Zakon o obaveznom zdravstvenom osiguranju iz 2022. godine","2022","https://wapi.gov.me/download/4cfecb11-3771-4382-8af7-39124295e3d1?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o obaveznom zdravstvenom osiguranju iz 2022. godine-2022.pdf"
8534,"Zakon o reprogramu poreskog potrazivanja","2022","https://wapi.gov.me/download/c3414a91-c962-4512-97ec-246295cc8268?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o reprogramu poreskog potrazivanja-2022.pdf"
8535,"Zakon o izmjeni Zakona o objedinjenoj registraciji i naplati poreza i doprinosa iz 2022. godine","2022","https://wapi.gov.me/download/d26138d6-928f-41d0-8f7c-008d30ba77a0?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjeni Zakona o objedinjenoj registraciji i naplati poreza i doprinosa iz 2022. godine-2022.pdf"
8536,"Zakon o izmjenama i dopuni Zakona o doprinosima za obavezno socijalno osiguranje iz 2022.godine","2022","https://wapi.gov.me/download/55740fbf-041e-48b7-9bdc-32bd30ad166b?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopuni Zakona o doprinosima za obavezno socijalno osiguranje iz 2022.godine-2022.pdf"
8537,"Zakon o izmjenama i dopunama Zakona o porezu na dohodak fizickih lica iz 2022. godine","2022","https://wapi.gov.me/download/51c9df8b-bd37-41ae-bfa8-a5393e4a8af8?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopunama Zakona o porezu na dohodak fizickih lica iz 2022. godine-2022.pdf"
8538,"Zakon o izmjenama i dopunama Zakona o porezu na dobit pravnih lica iz 2022. godine","2022","https://wapi.gov.me/download/898fc08f-8480-4515-bdfa-bef15c590c51?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopunama Zakona o porezu na dobit pravnih lica iz 2022. godine-2022.pdf"
8539,"Zakon o izmjenama i dopunama Zakona o radu iz 2021. godine","2022","https://wapi.gov.me/download/e2671f8f-937e-42a2-a7ad-31522b5554ea?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopunama Zakona o radu iz 2021. godine-2022.pdf"
8540,"Zakon o izmjenama i dopunama Zakona o poreskoj administraciji iz 2021. godine","2022","https://wapi.gov.me/download/ae1d0607-f7b1-484a-b678-98256f0bb061?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopunama Zakona o poreskoj administraciji iz 2021. godine-2022.pdf"
8547,"Zakon o sportu","2021","https://wapi.gov.me/download/b6fbeb64-a30e-4dbb-ae56-e1726aca8f58?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o sportu-2021.pdf"
