law_id,title,url,pdf_path
9019,"Zakon o državnim simbolima i Danu državnosti Crne Gore","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o državnim simbolima i Danu državnosti Crne Gore-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o državnim simbolima i Danu državnosti Crne Gore-2020.pdf"
9042,"Zakon o fiskalizaciji u prometu proizvoda i usluga","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf"
9043,"Zakon o fiskalizaciji u prometu proizvoda i usluga","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf"
9044,"Zakon o fiskalizaciji u prometu proizvoda i usluga","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf"
9045,"Zakon o fiskalizaciji u prometu proizvoda i usluga","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o fiskalizaciji u prometu proizvoda i usluga-2020.pdf"
9051,"Zakon o porezu na dohodak fizickih lica","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dohodak fizickih lica-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o porezu na dohodak fizickih lica-2019.pdf"
9066,"Opsti kolektivni ugovor","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Opsti kolektivni ugovor-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Opsti kolektivni ugovor-2019.pdf"
9067,"Zakon o doprinosima za obavezno socijalno osiguranje","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje-2019.pdf"
9068,"Zakon o doprinosima za obavezno socijalno osiguranje","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o doprinosima za obavezno socijalno osiguranje-2019.pdf"
9075,"Zakon o izmjenama i dopunama ZUT Sl.list CG br. 38-19","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopunama ZUT Sl.list CG br. 38-19-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izmjenama i dopunama ZUT Sl.list CG br. 38-19-2019.pdf"
